Date,Open
2021-09-01,452.56
2021-09-02,453.32
2021-09-03,451.98
2021-09-07,452.71
2021-09-08,450.89
2021-09-09,450.7
2021-09-10,451.04
2021-09-13,448.64
2021-09-14,448.12
2021-09-15,444.62
2021-09-16,447.32
2021-09-17,444.92
2021-09-20,434.88
2021-09-21,436.53
2021-09-22,436.05
2021-09-23,439.85
2021-09-24,441.44
2021-09-27,442.81
2021-09-28,439.69
2021-09-29,435.19
2021-09-30,436.02
2021-10-01,430.98
2021-10-04,433
2021-10-05,430.24
2021-10-06,429.27
2021-10-07,438.39
2021-10-08,439.48
2021-10-11,437.16
2021-10-12,435.67
2021-10-13,434.71
2021-10-14,439.08
2021-10-15,444.75
2021-10-18,443.97
2021-10-19,448.92
2021-10-20,451.13
2021-10-21,451.77
2021-10-22,453.13
2021-10-25,454.28
2021-10-26,457.2
2021-10-27,456.45
2021-10-28,455.46
2021-10-29,455.87
2021-11-01,460.3
2021-11-02,460.22
2021-11-03,461.3
2021-11-04,465.36
2021-11-05,469.28
2021-11-08,469.7
2021-11-09,469.32
2021-11-10,465.58
2021-11-11,465.21
2021-11-12,465.12
2021-11-15,468.64
2021-11-16,467.15
2021-11-17,469
2021-11-18,469.24
2021-11-19,469.61
2021-11-22,470.89
2021-11-23,467.22
2021-11-24,466.06
2021-11-26,462.34
2021-11-29,464.07
2021-11-30,462
2021-12-01,461.64
2021-12-02,450.73
2021-12-03,459.17
2021-12-06,456.13
2021-12-07,464.41
2021-12-08,468.7
2021-12-09,468.15
2021-12-10,469.23
2021-12-13,470.19
2021-12-14,463.09
2021-12-15,463.42
2021-12-16,472.57
2021-12-17,461.55
2021-12-20,454.48
2021-12-21,458.61
2021-12-22,462.79
2021-12-23,468.75
2021-12-27,472.06
2021-12-28,477.72
2021-12-29,476.98
2021-12-30,477.93
2021-12-31,475.64
2022-01-03,476.3
2022-01-04,479.22
2022-01-05,477.16
2022-01-06,467.89
2022-01-07,467.95
2022-01-10,462.7
2022-01-11,465.23
2022-01-12,471.59
2022-01-13,472.19
2022-01-14,461.19
2022-01-18,459.74
2022-01-19,458.13
2022-01-20,453.75
2022-01-21,445.56
2022-01-24,432.03
2022-01-25,433.06
2022-01-26,440.72
2022-01-27,438.26
2022-01-28,432.68
2022-01-31,441.24
2022-02-01,450.68
2022-02-02,455.5
2022-02-03,450.95
2022-02-04,446.35
2022-02-07,449.51
2022-02-08,446.73
2022-02-09,455.22
2022-02-10,451.34
2022-02-11,449.41
2022-02-14,439.92
2022-02-15,443.73
2022-02-16,443.93
2022-02-17,443.22
2022-02-18,437.33
2022-02-22,431.89
2022-02-23,432.66
2022-02-24,411.02
2022-02-25,429.61
2022-02-28,432.03
2022-03-01,435.04
2022-03-02,432.37
2022-03-03,440.47
2022-03-04,431.75
2022-03-07,431.55
2022-03-08,419.62
2022-03-09,425.14
2022-03-10,422.52
2022-03-11,428.12
2022-03-14,420.89
2022-03-15,419.77
2022-03-16,429.89
2022-03-17,433.59
2022-03-18,438
2022-03-21,444.34
2022-03-22,445.86
2022-03-23,446.91
2022-03-24,445.94
2022-03-25,451.16
2022-03-28,452.06
2022-03-29,460.02
2022-03-30,460.34
2022-03-31,457.89
2022-04-01,453.31
2022-04-04,453.13
2022-04-05,455.22
2022-04-06,446.89
2022-04-07,445.59
2022-04-08,447.97
2022-04-11,444.11
2022-04-12,443.08
2022-04-13,438.03
2022-04-14,443.55
2022-04-18,436.81
2022-04-19,437.86
2022-04-20,446.92
2022-04-21,448.54
2022-04-22,436.91
2022-04-25,423.67
2022-04-26,425.83
2022-04-27,417.24
2022-04-28,422.29
2022-04-29,423.59
2022-05-02,412.07
2022-05-03,415.01
2022-05-04,417.08
2022-05-05,424.55
2022-05-06,411.1
2022-05-09,405.1
2022-05-10,404.49
2022-05-11,398.07
2022-05-12,389.37
2022-05-13,396.71
2022-05-16,399.98
2022-05-17,406.53
2022-05-18,403.5
2022-05-19,388.62
2022-05-20,393.25
2022-05-23,392.83
2022-05-24,392.56
2022-05-25,392.31
2022-05-26,398.67
2022-05-27,407.91
2022-05-31,413.55
2022-06-01,415.17
2022-06-02,409.42
2022-06-03,412.4
2022-06-06,414.78
2022-06-07,408.1
2022-06-08,413.93
2022-06-09,409.34
2022-06-10,394.88
2022-06-13,379.85
2022-06-14,376.85
2022-06-15,377.36
2022-06-16,370.51
2022-06-17,365.51
2022-06-21,371.89
2022-06-22,370.62
2022-06-23,376.64
2022-06-24,381.4
2022-06-27,391.05
2022-06-28,390.23
2022-06-29,381.23
2022-06-30,376.24
2022-07-01,376.56
2022-07-05,375.88
2022-07-06,382.11
2022-07-07,385.12
2022-07-08,387.27
2022-07-11,385.85
2022-07-12,383.65
2022-07-13,375.1
2022-07-14,373.61
2022-07-15,382.55
2022-07-18,388.38
2022-07-19,386.08
2022-07-20,392.47
2022-07-21,394.16
2022-07-22,398.92
2022-07-25,395.75
2022-07-26,393.84
2022-07-27,394.36
2022-07-28,401.89
2022-07-29,407.58
2022-08-01,409.15
2022-08-02,409.12
2022-08-03,410.3
2022-08-04,414.37
2022-08-05,409.66
2022-08-08,415.25
2022-08-09,412.22
2022-08-10,418.78
2022-08-11,422.99
2022-08-12,422.03
2022-08-15,424.765
2022-08-16,427.73
2022-08-17,425.91
2022-08-18,426.86
2022-08-19,424.98
2022-08-22,417.05
2022-08-23,412.9
2022-08-24,412.11
2022-08-25,415.24
